,name,dim
0,language_model/in_out_embed/embeddings,"[131072, 6144]"
1,language_model/rms_norm/scale,[6144]
2,transformer/decoder_layer_0/moe/linear/w,"[8, 6144, 32768]"
3,transformer/decoder_layer_0/moe/linear_1/w,"[8, 32768, 6144]"
4,transformer/decoder_layer_0/moe/linear_v/w,"[8, 6144, 32768]"
5,transformer/decoder_layer_0/multi_head_attention/key/w,"[6144, 1024]"
6,transformer/decoder_layer_0/multi_head_attention/linear/w,"[6144, 6144]"
7,transformer/decoder_layer_0/multi_head_attention/query/w,"[6144, 6144]"
8,transformer/decoder_layer_0/multi_head_attention/value/w,"[6144, 1024]"
9,transformer/decoder_layer_0/rms_norm/scale,[6144]
10,transformer/decoder_layer_0/rms_norm_1/scale,[6144]
11,transformer/decoder_layer_0/rms_norm_2/scale,[6144]
12,transformer/decoder_layer_0/rms_norm_3/scale,[6144]
13,transformer/decoder_layer_0/router/w,"[6144, 8]"
14,transformer/decoder_layer_1/moe/linear/w,"[8, 6144, 32768]"
15,transformer/decoder_layer_1/moe/linear_1/w,"[8, 32768, 6144]"
16,transformer/decoder_layer_1/moe/linear_v/w,"[8, 6144, 32768]"
17,transformer/decoder_layer_1/multi_head_attention/key/w,"[6144, 1024]"
18,transformer/decoder_layer_1/multi_head_attention/linear/w,"[6144, 6144]"
19,transformer/decoder_layer_1/multi_head_attention/query/w,"[6144, 6144]"
20,transformer/decoder_layer_1/multi_head_attention/value/w,"[6144, 1024]"
21,transformer/decoder_layer_1/rms_norm/scale,[6144]
22,transformer/decoder_layer_1/rms_norm_1/scale,[6144]
23,transformer/decoder_layer_1/rms_norm_2/scale,[6144]
24,transformer/decoder_layer_1/rms_norm_3/scale,[6144]
25,transformer/decoder_layer_1/router/w,"[6144, 8]"
26,transformer/decoder_layer_10/moe/linear/w,"[8, 6144, 32768]"
27,transformer/decoder_layer_10/moe/linear_1/w,"[8, 32768, 6144]"
28,transformer/decoder_layer_10/moe/linear_v/w,"[8, 6144, 32768]"
29,transformer/decoder_layer_10/multi_head_attention/key/w,"[6144, 1024]"
30,transformer/decoder_layer_10/multi_head_attention/linear/w,"[6144, 6144]"
